State,Minimum Wage,Estimated Net Bi-Weekly Pay,1 Month - 1 Bd
 Alabama,0.00,,950
 Alaska,10.19,699.00,925
 Arizona,12.00,790.00,975
 Arkansas,10.00,667.00,704
 California,13.00,857.00,2200
 Colorado,12.00,785.00,1470
 Connecticut,11.00,744.00,1138
 Delaware,9.25,614.00,1008
 District of Columbia,14.00,894.00,2226
 Florida,8.56,595.00,885
 Georgia,5.15,367.00,1430
 Hawaii,10.10,649.00,N/A
 Idaho,7.25,508.00,1020
 Illinois,9.25,607.00,1523
 Indiana,7.25,480.00,859
 Iowa,7.25,495.00,975
 Kansas,7.25,497.00,770
 Kentucky,7.25,497.00,849
 Louisiana,0.00,,1350
 Maine,12.00,797.00,1400
 Maryland,11.00,670.00,1184
 Massachusetts,12.75,825.00,2500
 Michigan,9.65,625.00,900
 Minnesota,8.15,542.00,1375
 Mississippi,0.00,,600
 Missouri,9.45,642.00,949
 Montana,8.65,580.00,650
 Nebraska,9.00,615.00,835
 Nevada,7.25,508.00,959
 New Hampshire,0.00,,1139
 New Jersey,11.00,732.00,1650
 New Mexico,9.00,623.00,715
 New York,11.80,753.00,2850
 North Carolina,7.25,503.00,1200
 North Dakota,7.25,506.00,675
 Ohio,7.25,491.00,860
 Oklahoma,7.25,508.00,774
 Oregon,11.25,624.00,1390
 Pennsylvania,7.25,468.00,1500
 Rhode Island,10.50,693.00,1500
 South Carolina,0.00,,1455
 South Dakota,9.30,642.00,695
 Tennessee,0.00,,1409
 Texas,7.25,508.00,1099
 Utah,7.25,490.00,1033
 Vermont,10.96,729.00,1500
 Virginia,7.25,495.00,1013
 Washington,13.50,912.00,1825
 West Virginia,8.75,586.00,575
 Wisconsin,7.25,504.00,995
 Wyoming,5.15,370.00,690
